Common Name,Scientific Name
Amazon molly,Poecilia formosa
Asian bonytongue,Scleropages formosus
Atlantic cod,Gadus morhua
Atlantic herring,Clupea harengus
Atlantic salmon,Salmo salar
Ballan wrasse,Labrus bergylta
Barramundi perch,Lates calcarifer
Bicolor damselfish,Stegastes partitus
Blind barbel,Sinocyclocheilus anshuiensis
Blue tilapia,Oreochromis aureus
Brown trout,Salmo trutta
Burton's mouthbrooder,Haplochromis burtoni
Channel bull blenny,Cottoperca gobio
Channel catfish,Ictalurus punctatus
Chinese medaka,Oryzias sinensis
Chinook salmon,Oncorhynchus tshawytscha
Climbing perch,Anabas testudineus
Clown anemonefish,Amphiprion ocellaris
Coelacanth,Latimeria chalumnae
Coho salmon,Oncorhynchus kisutch
Common carp,Cyprinus carpio carpio
Denticle herring,Denticeps clupeoides
European seabass,Dicentrarchus labrax
Fugu,Takifugu rubripes
Gilthead seabream,Sparus aurata
Golden-line barbel,Sinocyclocheilus grahami
Goldfish,Carassius auratus
Greater amberjack,Seriola dumerili
Guppy,Poecilia reticulata
Hagfish,Eptatretus burgeri
Horned golden-line barbel,Sinocyclocheilus rhinocerous
Huchen,Hucho hucho
Indian glassy fish,Parambassis ranga
Indian medaka,Oryzias melastigma
Japanese medaka HdrR,Oryzias latipes
Javanese ricefish,Oryzias javanicus
Jewelled blenny,Salarias fasciatus
Lamprey,Petromyzon marinus
Large yellow croaker,Larimichthys crocea
Live sharksucker,Echeneis naucrates
Lumpfish,Cyclopterus lumpus
Lyretail cichlid,Neolamprologus brichardi
Makobe Island cichlid,Pundamilia nyererei
Mangrove rivulus,Kryptolebias marmoratus
Mexican tetra,Astyanax mexicanus
Midas cichlid,Amphilophus citrinellus
Monterrey platyfish,Xiphophorus couchianus
Mummichog,Fundulus heteroclitus
Nile tilapia,Oreochromis niloticus
Northern pike,Esox lucius
Ocean sunfish,Mola mola
Orange clownfish,Amphiprion percula
Orbiculate cardinalfish,Sphaeramia orbicularis
P. kingsleyae,Paramormyrops kingsleyae
P. magnuspinnatus,Periophthalmus magnuspinnatus
Pike-perch,Sander lucioperca
Pinecone soldierfish,Myripristis murdjan
Platyfish,Xiphophorus maculatus
Rainbow trout,Oncorhynchus mykiss
Red-bellied piranha,Pygocentrus nattereri
Reedfish,Erpetoichthys calabaricus
Round goby,Neogobius melanostomus
Sailfin molly,Poecilia latipinna
Sheepshead minnow,Cyprinodon variegatus
Shortfin molly,Poecilia mexicana
Siamese fighting fish,Betta splendens
Spiny chromis,Acanthochromis polyacanthus
Spotted gar,Lepisosteus oculatus
Stickleback,Gasterosteus aculeatus
Tetraodon,Tetraodon nigroviridis
Tongue sole,Cynoglossus semilaevis
Turbot,Scophthalmus maximus
Turquoise killifish,Nothobranchius furzeri
Western mosquitofish,Gambusia affinis
Yellowtail amberjack,Seriola lalandi dorsalis
Zebra mbuna,Maylandia zebra
Zebrafish,Danio rerio
